movie name,image link,year,reviews
1. The Shawshank Redemption,,19942h 22mR,(3M)
2. The Godfather,,19722h 55mR,(2.1M)
3. The Dark Knight,,20082h 32mPG-13,(3M)
4. The Godfather Part II,,19743h 22mR,(1.4M)
5. 12 Angry Men,,19571h 36mApproved,(906K)
6. The Lord of the Rings: The Return of the King,,20033h 21mPG-13,(2M)
7. Schindler's List,,19933h 15mR,(1.5M)
8. Pulp Fiction,,19942h 34mR,(2.3M)
9. The Lord of the Rings: The Fellowship of the Ring,,20012h 58mPG-13,(2.1M)
"10. The Good, the Bad and the Ugly",,19662h 58mR,(840K)
11. Forrest Gump,,19942h 22mPG-13,(2.3M)
12. The Lord of the Rings: The Two Towers,,20022h 59mPG-13,(1.8M)
13. Fight Club,,19992h 19mR,(2.4M)
14. Inception,,20102h 28mPG-13,(2.6M)
15. Star Wars: Episode V - The Empire Strikes Back,,19802h 4mPG,(1.4M)
16. The Matrix,,19992h 16mR,(2.1M)
17. Goodfellas,,19902h 25mR,(1.3M)
18. One Flew Over the Cuckoo's Nest,,19752h 13mR,(1.1M)
19. Interstellar,,20142h 49mPG-13,(2.3M)
20. Se7en,,19952h 7mR,(1.9M)
21. It's a Wonderful Life,,19462h 10mPG,(522K)
22. Seven Samurai,,19543h 27mNot Rated,(379K)
23. The Silence of the Lambs,,19911h 58mR,(1.6M)
24. Saving Private Ryan,,19982h 49mR,(1.5M)
25. City of God,,20022h 10mR,(826K)
